cycle,timestamp,counts,speeds,probs,selected,duration,confidence
1,08:59:05,"[20, 85, 73, 65]","[38.6, 40.1, 44.8, 12.5]","{'N': np.float64(0.11301928343700555), 'S': np.float64(0.9324741684334301), 'E': np.float64(0.9244699688308977), 'W': np.float64(0.9687008067188949)}",W,45.0,0.97
2,08:59:05,"[26, 85, 30, 47]","[6.3, 37.9, 19.8, 17.9]","{'N': np.float64(0.833647827438424), 'S': np.float64(0.9346418658133304), 'E': np.float64(0.620230775431389), 'W': np.float64(0.9213454353235064)}",S,45.0,0.93
3,08:59:06,"[95, 89, 24, 26]","[29.2, 6.6, 20.8, 35.3]","{'N': np.float64(0.9433801696236828), 'S': np.float64(0.9666376850978147), 'E': np.float64(0.3420483017403911), 'W': np.float64(0.13861590157910536)}",S,45.0,0.97
4,08:59:07,"[8, 37, 113, 66]","[21.4, 11.4, 22.9, 31.5]","{'N': np.float64(0.3898463626681115), 'S': np.float64(0.7730844908384233), 'E': np.float64(0.912007435684535), 'W': np.float64(0.9307126812753362)}",W,45.0,0.93
5,08:59:07,"[18, 56, 72, 29]","[30.3, 4.3, 38.7, 22.1]","{'N': np.float64(0.16379560105247773), 'S': np.float64(0.9446486392675925), 'E': np.float64(0.9073031436609559), 'W': np.float64(0.2720298536467689)}",S,45.0,0.94
6,08:59:08,"[42, 63, 68, 95]","[26.6, 36.4, 38.8, 44.9]","{'N': np.float64(0.8963376204057186), 'S': np.float64(0.9506216799687165), 'E': np.float64(0.9347524289902512), 'W': np.float64(0.9312793721555171)}",S,45.0,0.95
7,08:59:08,"[46, 72, 119, 108]","[7.8, 42.2, 17.6, 12.8]","{'N': np.float64(0.8573553530211688), 'S': np.float64(0.8524128205459641), 'E': np.float64(0.8475013204854558), 'W': np.float64(0.8951592467830415)}",W,45.0,0.9
8,08:59:09,"[78, 80, 37, 84]","[4.3, 21.3, 28.3, 29.1]","{'N': np.float64(0.9602748563008628), 'S': np.float64(0.9535232439280061), 'E': np.float64(0.12905581018534346), 'W': np.float64(0.931366189540762)}",N,45.0,0.96
9,08:59:09,"[34, 57, 68, 73]","[34.5, 38.7, 37.4, 39.5]","{'N': np.float64(0.139547205748458), 'S': np.float64(0.9319237985696598), 'E': np.float64(0.9454817502707603), 'W': np.float64(0.9361709831501986)}",E,45.0,0.95
10,08:59:10,"[83, 100, 32, 5]","[22.9, 5.4, 43.5, 31.8]","{'N': np.float64(0.8204866319662475), 'S': np.float64(0.8198987346701551), 'E': np.float64(0.22906434494440092), 'W': np.float64(0.25088013832412653)}",N,45.0,0.82
11,08:59:10,"[20, 61, 75, 13]","[35.1, 46.3, 12.8, 8.6]","{'N': np.float64(0.24264224556482725), 'S': np.float64(0.8563898493073369), 'E': np.float64(0.8825882254545633), 'W': np.float64(0.8296231888632225)}",E,45.0,0.88
12,08:59:11,"[55, 5, 63, 31]","[44.3, 18.8, 36.5, 37.2]","{'N': np.float64(0.8736333545659128), 'S': np.float64(0.6731331754868909), 'E': np.float64(0.8860889200560803), 'W': np.float64(0.11269718761515271)}",E,45.0,0.89
13,08:59:12,"[44, 47, 56, 117]","[17.6, 30.6, 31.6, 14.5]","{'N': np.float64(0.9473727287800237), 'S': np.float64(0.9256838445058486), 'E': np.float64(0.9544128255552099), 'W': np.float64(0.9726657208361854)}",W,45.0,0.97
14,08:59:12,"[56, 24, 38, 94]","[20.6, 25.7, 32.1, 30.8]","{'N': np.float64(0.9348804510930578), 'S': np.float64(0.2008303343626805), 'E': np.float64(0.11476575915493054), 'W': np.float64(0.9369069668094117)}",W,45.0,0.94
15,08:59:13,"[67, 91, 25, 95]","[39.0, 44.0, 4.9, 12.7]","{'N': np.float64(0.9336821097413436), 'S': np.float64(0.9600194451329912), 'E': np.float64(0.8497891483937592), 'W': np.float64(0.9509277971824449)}",S,45.0,0.96
16,08:59:13,"[113, 96, 18, 118]","[15.6, 23.5, 18.1, 25.6]","{'N': np.float64(0.9019444550036783), 'S': np.float64(0.9136887223860888), 'E': np.float64(0.6849938228660718), 'W': np.float64(0.8675807969930236)}",S,45.0,0.91
17,08:59:14,"[12, 51, 19, 37]","[48.3, 22.2, 25.6, 44.7]","{'N': np.float64(0.09651535683687949), 'S': np.float64(0.91555461719954), 'E': np.float64(0.3329265939365934), 'W': np.float64(0.522780373150598)}",S,45.0,0.92
18,08:59:14,"[86, 32, 68, 110]","[6.3, 40.0, 29.7, 25.7]","{'N': np.float64(0.9464912832797122), 'S': np.float64(0.19353500585632172), 'E': np.float64(0.9263494367894037), 'W': np.float64(0.9456756229569495)}",N,45.0,0.95
19,08:59:15,"[119, 88, 11, 36]","[17.7, 19.1, 27.3, 8.9]","{'N': np.float64(0.9274928599503472), 'S': np.float64(0.8719295391809243), 'E': np.float64(0.19297125450981792), 'W': np.float64(0.7852548277369279)}",N,45.0,0.93
20,08:59:16,"[58, 9, 73, 85]","[42.3, 43.3, 31.3, 33.9]","{'N': np.float64(0.9632700276691069), 'S': np.float64(0.05851174634894813), 'E': np.float64(0.9754538894953139), 'W': np.float64(0.9660768033202819)}",E,45.0,0.98
21,08:59:16,"[116, 75, 97, 71]","[40.6, 27.7, 39.3, 7.3]","{'N': np.float64(0.9158676356538213), 'S': np.float64(0.9286093204383034), 'E': np.float64(0.9369625676375315), 'W': np.float64(0.9199405817665297)}",E,45.0,0.94
22,08:59:17,"[50, 13, 94, 46]","[30.6, 43.0, 12.8, 43.4]","{'N': np.float64(0.9401237760358195), 'S': np.float64(0.09225715389889488), 'E': np.float64(0.9713390485836884), 'W': np.float64(0.9777815386110225)}",W,45.0,0.98
23,08:59:17,"[72, 57, 76, 75]","[22.8, 42.3, 44.6, 30.5]","{'N': np.float64(0.9215058382303636), 'S': np.float64(0.9508817207674575), 'E': np.float64(0.9478170034577452), 'W': np.float64(0.937297151224123)}",S,45.0,0.95
24,08:59:18,"[7, 114, 33, 119]","[43.1, 30.9, 6.8, 33.6]","{'N': np.float64(0.1941209028886808), 'S': np.float64(0.8976415206029321), 'E': np.float64(0.7872196986248109), 'W': np.float64(0.9194412537116866)}",W,45.0,0.92
25,08:59:18,"[28, 98, 14, 19]","[29.1, 19.7, 40.2, 46.6]","{'N': np.float64(0.1456471681653697), 'S': np.float64(0.9348774248344508), 'E': np.float64(0.11861389848798694), 'W': np.float64(0.13291702185695384)}",S,45.0,0.93
26,08:59:19,"[32, 35, 26, 23]","[5.1, 10.8, 45.6, 21.0]","{'N': np.float64(0.7943848856073925), 'S': np.float64(0.8542066798048011), 'E': np.float64(0.1783562882878992), 'W': np.float64(0.42594428076677654)}",S,45.0,0.85
27,08:59:20,"[65, 30, 94, 6]","[31.0, 8.6, 5.8, 25.4]","{'N': np.float64(0.9031269797847272), 'S': np.float64(0.7193698580499968), 'E': np.float64(0.9304172230218567), 'W': np.float64(0.1931011862897212)}",E,45.0,0.93
28,08:59:20,"[76, 40, 44, 94]","[30.5, 49.2, 45.0, 26.2]","{'N': np.float64(0.9254800209949546), 'S': np.float64(0.6415487827166703), 'E': np.float64(0.9105874136524326), 'W': np.float64(0.9504069058158087)}",W,45.0,0.95
29,08:59:21,"[5, 52, 34, 45]","[10.7, 42.2, 46.5, 11.9]","{'N': np.float64(0.7960327328332448), 'S': np.float64(0.8736649043701724), 'E': np.float64(0.22321655108579852), 'W': np.float64(0.8983093040097344)}",W,45.0,0.9
30,08:59:21,"[18, 68, 93, 55]","[20.0, 48.1, 29.7, 35.8]","{'N': np.float64(0.5651562777070697), 'S': np.float64(0.9390107078024668), 'E': np.float64(0.9625441653265341), 'W': np.float64(0.9599413139474579)}",E,45.0,0.96
31,08:59:22,"[47, 68, 100, 69]","[8.6, 40.0, 25.6, 3.1]","{'N': np.float64(0.9669358545091552), 'S': np.float64(0.9529963815256937), 'E': np.float64(0.9682105727264024), 'W': np.float64(0.9525497303977727)}",E,45.0,0.97
32,08:59:22,"[50, 103, 107, 108]","[12.6, 22.1, 15.4, 19.2]","{'N': np.float64(0.9415379231611758), 'S': np.float64(0.902965374753155), 'E': np.float64(0.9412984275148949), 'W': np.float64(0.9358306294667758)}",N,45.0,0.94
33,08:59:23,"[75, 19, 5, 73]","[34.5, 16.1, 32.1, 25.6]","{'N': np.float64(0.8927506327591912), 'S': np.float64(0.6343854492240962), 'E': np.float64(0.15870739132345205), 'W': np.float64(0.8709892699120381)}",N,45.0,0.89
34,08:59:24,"[23, 85, 40, 116]","[49.1, 4.2, 17.7, 35.7]","{'N': np.float64(0.14182071845128102), 'S': np.float64(0.9421808070499796), 'E': np.float64(0.7493537315012692), 'W': np.float64(0.8920135961781828)}",S,45.0,0.94
